July 1,Sunday,,,,,,,,,,,,,,
9,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
10,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
,,,,,,,,,,,,,,,
July 4,Wednesday,,,,,,,,,,,,,,
LANE/TIME,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
2,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
3,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
4,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
5,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
6,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
7,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
8,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,SKJETTEN,SKJETTEN,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
9,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
10,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,KARMOY,KARMOY,LAMBERTSETTER,LAMBERTSETTER,CARDIFF,CARDIFF,,
,,,,,,,,,,,,,,,
July 5,Thursday,,,,,,,,,,,,,,
LANE/TIME,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,BATH ITC,BATH ITC,MADLA,MADLA,MILLFIELD,MILLFIELD,,
